wavelength_nm,intensity
300.0,70.70212713381586
300.25,53.05845237388678
300.5,65.68066618374003
300.75,56.758426508050874
301.0,58.28030752152577
301.25,68.88418007250044
301.5,68.17158997165316
301.75,68.5779696224317
302.0,60.640475884060535
302.25,66.0136906141445
302.5,60.30102019471583
302.75,70.63627682053966
303.0,73.06936900389265
303.25,81.58068021664822
303.5,77.64691023946102
303.75,61.05460269728039
304.0,63.815121138950296
304.25,59.94899495874144
304.5,69.88483336076573
304.75,83.26112712896959
305.0,73.06552706868537
305.25,49.782923425218186
305.5,57.29885504780873
305.75,56.99897580216728
306.0,71.44174465151981
306.25,67.31993478537764
306.5,84.19672973253132
306.75,401.9020687708022
307.0,145.6892036277534
307.25,61.089278827640975
307.5,315.55295114455055
307.75,183.6052745700179
308.0,60.988326535897144
308.25,50.945548731538224
308.5,95.04780241454858
308.75,291.39102688978744
309.0,71.2693035185505
309.25,67.44648063601723
309.5,75.0207875011737
309.75,65.94719949257778
310.0,61.4966530661215
310.25,61.101285219293636
310.5,82.22468795555876
310.75,52.874936199898954
311.0,68.37536019795938
311.25,67.17596147728878
311.5,71.89065485677477
311.75,63.70580631776052
312.0,70.92277357596178
312.25,73.44019324993769
312.5,65.72282410264226
312.75,63.22817183815536
313.0,65.38558106216385
313.25,59.14395100587291
313.5,65.1888776472645
313.75,64.42307860117518
314.0,68.5086571391001
314.25,77.50411540118188
314.5,77.26528929648151
314.75,63.2295626051519
315.0,71.60511621112522
315.25,69.13010596763048
315.5,72.85281855765325
315.75,66.92159852163549
316.0,68.8658653023033
316.25,62.97953774623741
316.5,60.444182157056005
316.75,73.68800325296486
317.0,77.09313505452562
317.25,71.99178952118807
317.5,70.17168165946244
317.75,68.80675772427792
318.0,63.06825864173278
318.25,52.39648410984727
318.5,71.96143316491256
318.75,68.24096970286874
319.0,62.20611271479544
319.25,58.9153075031766
319.5,76.84956757557745
319.75,52.18630416546219
320.0,80.70927806030106
320.25,71.72583702322976
320.5,85.56926155877812
320.75,60.856346902057595
321.0,66.41930791302073
321.25,62.536432999840855
321.5,67.82611483697039
321.75,64.90105484772383
322.0,60.589270859460164
322.25,75.17222279525204
322.5,60.29111146675488
322.75,62.50491776588808
323.0,71.00103929221872
323.25,62.26132887406935
323.5,63.083040895701586
323.75,69.40575857090481
324.0,63.613728247254436
324.25,56.582617356146194
324.5,65.73585378221492
324.75,64.79467364504414
325.0,80.19088948747012
325.25,57.77643744235107
325.5,74.30744705173692
325.75,60.26517101651097
326.0,63.70577719787625
326.25,63.940386567813086
326.5,68.71947223765848
326.75,73.46429132128408
327.0,80.55753954730076
327.25,61.468782495997324
327.5,77.20227051826842
327.75,74.52812403661474
328.0,73.06841285761016
328.25,60.49636770926191
328.5,73.77956660291774
328.75,65.71888629836849
329.0,69.4084126079214
329.25,64.43318602649738
329.5,71.90338449961793
329.75,75.5153660844654
330.0,75.64824248691197
330.25,64.963492905681
330.5,74.57423916191271
330.75,78.23323959334186
331.0,59.14032764988474
331.25,78.40741760363063
331.5,55.95352518637205
331.75,70.98497573636043
332.0,71.40203482325921
332.25,78.52051651971688
332.5,68.89562007657064
332.75,62.82822633586103
333.0,60.30742162975632
333.25,56.681204218830494
333.5,72.82711004388555
333.75,64.81319087089415
334.0,60.97687153353124
334.25,70.98352783307438
334.5,60.618483815655004
334.75,63.253265378436225
335.0,63.09154962755659
335.25,80.00400147735238
335.5,78.48264428389854
335.75,65.52817930639576
336.0,54.23374370675332
336.25,69.02776977650844
336.5,67.40229717669095
336.75,69.64950993256431
337.0,347.606927936539
337.25,159.08242496466488
337.5,74.2802989307462
337.75,73.5878461404607
338.0,68.59103813388062
338.25,63.67005708213988
338.5,63.08938129550096
338.75,72.49020727768968
339.0,58.16779583591024
339.25,65.7026219363949
339.5,60.99464622101601
339.75,55.8628238179303
340.0,71.8557587462134
340.25,66.83674730894522
340.5,67.34545335709353
340.75,74.07041647829688
341.0,55.140731639606685
341.25,66.57313316015085
341.5,69.43639903224965
341.75,73.80336141648041
342.0,58.48325101521331
342.25,72.90807763873846
342.5,68.9554349639614
342.75,78.06490315985246
343.0,76.34755256140069
343.25,71.65370489267328
343.5,84.46395307962914
343.75,67.2857719476726
344.0,63.920411811352196
344.25,64.61024823053616
344.5,59.83307263889361
344.75,67.14721416051545
345.0,52.3712935597123
345.25,66.74386745825063
345.5,70.84782959891389
345.75,75.39282624590862
346.0,64.70619472210589
346.25,78.61712189832853
346.5,62.3191401387695
346.75,66.47528111654006
347.0,52.55355181631773
347.25,61.508556699244046
347.5,61.28986605228914
347.75,79.31536746893784
348.0,71.81262636383256
348.25,59.06629834328761
348.5,71.88639573874804
348.75,71.50352159991255
349.0,65.94204708548774
349.25,67.97041582578301
349.5,65.43203381734136
349.75,63.6045734669796
350.0,54.01936369874983
350.25,67.18633684279833
350.5,77.95398226926494
350.75,79.13299888624975
351.0,65.79552778148825
351.25,62.16467138732794
351.5,66.37325271482521
351.75,75.06427458298046
352.0,70.8248904731325
352.25,63.548274740551186
352.5,70.96376131712316
352.75,66.55364475086499
353.0,72.2167682710992
353.25,65.03706709326606
353.5,56.76338370699084
353.75,68.73024973578677
354.0,74.24004505536126
354.25,59.69406125741054
354.5,67.52681215404193
354.75,75.24231344702159
355.0,65.50320318026384
355.25,63.377654200145706
355.5,84.31798108113264
355.75,74.98319769400773
356.0,76.55599961930817
356.25,61.20292962568156
356.5,81.33016667129262
356.75,55.72787192622752
357.0,64.6288701427198
357.25,74.4624748475277
357.5,100.18547927902407
357.75,345.3240030725188
358.0,64.2834134384748
358.25,70.3552407492394
358.5,53.84607941537122
358.75,73.8643410435498
359.0,73.27904002195315
359.25,65.47489782847778
359.5,73.16926121600609
359.75,75.05628519193067
360.0,71.45810953167674
360.25,73.14595444642998
360.5,80.88188003985105
360.75,65.44361436871846
361.0,70.44453292985857
361.25,65.1636923997292
361.5,77.28503798118918
361.75,66.12627522901498
362.0,73.00482078423535
362.25,70.41956902536793
362.5,69.90685108619272
362.75,82.74011201540007
363.0,68.80265782029109
363.25,80.48135952790537
363.5,75.93247097647362
363.75,79.79011169921401
364.0,68.32436449263602
364.25,76.82288059052841
364.5,75.52661195217668
364.75,64.9542673333977
365.0,71.82783797848859
365.25,68.78404874281028
365.5,69.53916508586086
365.75,79.91844303735154
366.0,64.31633311800302
366.25,56.918118391155154
366.5,56.4979737920145
366.75,66.49875526659369
367.0,65.04940155175748
367.25,70.17933753814133
367.5,74.47534596861077
367.75,83.74069421092132
368.0,72.56744382094753
368.25,73.79496417185844
368.5,64.58089514836527
368.75,74.77176633843676
369.0,80.8161265485931
369.25,80.71338942186267
369.5,55.32209680925491
369.75,77.31133185742911
370.0,82.69526943403265
370.25,76.88957946860384
370.5,59.022178367538565
370.75,68.22148247323703
371.0,75.15525677885455
371.25,73.86803199161741
371.5,64.44673397404853
371.75,63.87712744156015
372.0,78.22318848144127
372.25,60.532620158091035
372.5,81.90451899563435
372.75,71.0465614698427
373.0,73.24672605690351
373.25,60.69282756115539
373.5,66.41548377938341
373.75,76.35176568481458
374.0,59.75358412571816
374.25,87.06649748831171
374.5,60.3502292962655
374.75,61.78976804970781
375.0,71.56737129267248
375.25,74.98039984065582
375.5,76.95374284088088
375.75,68.493853385322
376.0,69.79190554268418
376.25,69.6097783573595
376.5,67.04081653636369
376.75,51.67045255219206
377.0,78.93783200163958
377.25,73.51109187083388
377.5,72.83803156474826
377.75,66.82224747936212
378.0,73.6263692580908
378.25,71.63178491658933
378.5,71.18075826214313
378.75,80.30734440080477
379.0,58.60976309789517
379.25,73.82247340830868
379.5,63.72794677084101
379.75,69.51963766623203
380.0,83.52196758998247
380.25,69.97830976247336
380.5,296.30962063173774
380.75,73.83943234207175
381.0,79.45090300531088
381.25,64.66415100728474
381.5,59.297625372562415
381.75,76.21669986285174
382.0,69.58462748140585
382.25,69.8891705946455
382.5,80.68252231770495
382.75,65.59702369562517
383.0,69.58670790076278
383.25,73.62809017391504
383.5,75.70789315309712
383.75,68.59929635129508
384.0,80.55792124341332
384.25,89.86393965650998
384.5,69.54133658102941
384.75,87.08251694749326
385.0,56.548842036630404
385.25,83.60091376641347
385.5,70.18592174668194
385.75,73.92166330541296
386.0,70.29434505374022
386.25,68.05108134576054
386.5,63.16179524885519
386.75,69.98173100053745
387.0,83.00874804530723
387.25,81.84588542442178
387.5,70.44715077757472
387.75,69.10324176942895
388.0,67.80331571546024
388.25,64.0154916755928
388.5,87.1247237213768
388.75,78.40034373728685
389.0,74.24003271333656
389.25,69.60019664215554
389.5,65.5580763764645
389.75,83.55931911537242
390.0,79.47996169102879
390.25,66.19871736346389
390.5,81.14922725646069
390.75,65.08190824883383
391.0,78.5523418717157
391.25,128.24719147640846
391.5,251.11893207201868
391.75,77.5388044380743
392.0,77.07956850130046
392.25,81.56246539908764
392.5,67.39975789358564
392.75,85.98706082025863
393.0,84.22142486878124
393.25,73.85040177675911
393.5,77.53517668218383
393.75,68.0191947240674
394.0,72.8584938197501
394.25,63.91837636509847
394.5,74.77914846594456
394.75,75.65874642078985
395.0,84.47952627120965
395.25,81.4713909747419
395.5,80.48259778978506
395.75,71.47750714192466
396.0,72.5625698182169
396.25,71.70271557326294
396.5,76.05945731926933
396.75,59.55727992464019
397.0,80.33609585847202
397.25,62.411272554318145
